Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,1,0,0,0,11,22.903112340017106,None,33.0534173400054,None,34.140983400007826,None,2.673177083333333,2.090941999995266,34.140983400007826,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,1,0,1,1,14,,,35.18706146000768,36.18722649999836,36.18722649999836,None,3.6953125,1.7407306999957655,36.18722649999836,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,1,0,2,2,18,,,36.97027376000479,37.97079059999669,37.97079059999669,None,3.506510416666667,1.874565199992503,37.97079059999669,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,1,0,3,3,23,,,38.88695175999892,None,39.87105380000139,None,3.506510416666667,1.9838367000047583,39.87105380000139,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,1,0,4,4,25,,,40.936598220001905,None,41.92020059999777,None,3.506510416666667,1.5157892999995966,41.92020059999777,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,1,0,5,5,4,,,42.52016442000458,None,43.52028860000428,None,3.506510416666667,1.560071900006733,43.52028860000428,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,1,0,6,6,12,,,44.103299130003144,45.10363330000837,45.10363330000837,None,3.506510416666667,1.7537338999973144,45.10363330000837,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,1,0,7,7,19,,,45.90327396001085,None,46.88647930001025,None,3.506510416666667,1.348080600000685,46.88647930001025,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,1,0,8,8,15,,,47.27032603000553,48.27028860000428,48.27028860000428,None,3.506510416666667,1.1567612999933772,48.27028860000428,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,1,0,9,9,13,,,48.45319963000802,49.4535509999987,49.4535509999987,None,3.506510416666667,1.2394697999989148,49.4535509999987,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,1,0,10,10,30,,,49.72019103000785,None,50.70314559999679,None,3.506510416666667,1.4633985999971628,50.70314559999679,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,1,0,11,11,24,,,51.203004830009014,52.20354810000572,52.20354810000572,None,3.506510416666667,1.436881400004495,52.20354810000572,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,1,0,12,12,33,,,52.68638056000346,53.68657109999913,53.68657109999913,None,3.506510416666667,1.4389068000018597,53.68657109999913,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,1,0,13,13,0,,,54.186127390003826,None,55.16951269999845,None,3.506510416666667,1.5674419999995735,55.16951269999845,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,1,0,14,14,28,,,55.803083590003375,None,56.786111399997026,None,3.506510416666667,1.4135965000023134,56.786111399997026,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,1,0,15,15,31,,,57.25280476000917,58.25321049999911,58.23598280000442,None,3.506510416666667,1.5361148999945726,58.23598280000442,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,1,0,16,16,8,,,58.802712930004056,None,59.802731700008735,None,3.506510416666667,1.3929783999919891,59.802731700008735,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,1,0,17,17,9,,,60.28623674999835,61.286133600005996,61.286133600005996,None,3.506510416666667,1.1058906999969622,61.286133600005996,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,18,18,21,,,61.41961482999759,62.41946520000056,62.41946520000056,None,3.506510416666667,1.6923569000064163,62.41946520000056,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,1,0,19,19,1,,,63.15286476000911,64.15301560000808,64.13587860000553,None,3.506510416666667,1.517424800011213,64.13587860000553,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,1,0,20,20,29,,,64.70278686000091,65.70271100000537,65.68587070000649,None,3.506510416666667,1.6801586999936262,65.68587070000649,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,21,21,2,,,66.41895485999993,67.41904140000406,67.41904140000406,None,3.506510416666667,1.6219889000058174,67.41904140000406,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,1,0,22,22,35,,,68.069181630011,69.06907620000129,69.06907620000129,None,3.506510416666667,1.491245199998957,69.06907620000129,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,1,0,23,23,34,,,69.60224566000687,None,70.58560520000174,None,3.506510416666667,1.2824851000041235,70.58560520000174,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,24,24,32,,,70.91900096000171,71.91887600001064,71.91887600001064,None,3.506510416666667,1.9270300999924075,71.91887600001064,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,1,0,25,25,16,,,72.90240319000877,73.90206960000796,73.90206960000796,None,3.506510416666667,1.0418425999960164,73.90206960000796,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,1,0,26,26,17,,,74.00180039000843,None,74.96839290000207,None,3.506510416666667,2.169119700003648,74.96839290000207,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,1,0,27,27,3,,,76.23521722001023,None,77.21831920000841,None,3.506510416666667,1.3305778999929316,77.21831920000841,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,1,0,28,28,6,,,77.60171576000283,78.60215380000591,78.60215380000591,None,3.506510416666667,2.655455100000836,78.60215380000591,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,1,0,29,29,27,,,80.28477643001096,None,81.26972650000243,None,3.506510416666667,1.6640778000000864,81.26972650000243,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,1,0,30,30,10,,,81.9852870600036,None,82.96836680000706,None,3.506510416666667,1.2464868999959435,82.96836680000706,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,1,0,31,31,26,,,83.26824266001057,84.26835130000836,84.26835130000836,None,3.506510416666667,1.3608993999951053,84.26835130000836,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,1,0,32,32,20,,,84.68469599000382,None,85.65149139999994,None,3.506510416666667,1.8025119999947492,85.65149139999994,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,1,0,33,33,7,,,86.51782096000096,87.51816790000885,87.50186830000894,None,3.506510416666667,2.3636143000039738,87.50186830000894,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,1,0,34,34,22,,,88.93442559001123,89.93459699999948,89.93459699999948,None,3.506510416666667,1.471388999998453,89.93459699999948,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,1,0,35,35,5,,,90.48430591999785,None,91.46899660000054,None,3.506510416666667,1.6147074999898905,91.46899660000054,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
1500,0.02,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,1,1,0,0,0,0,24,,,92.1344413600047,None,93.13451600000553,None,3.506510416666667,1.5722581000009086,93.13451600000553,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,1,1,0,0,1,1,10,,,93.75096675999811,None,94.73556349999853,None,3.506510416666667,1.115546599990921,94.73556349999853,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,0,0,2,2,15,,,94.8841884300069,95.88436890000594,95.88436890000594,None,None,None,95.88436890000594,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,1,1,0,0,3,3,27,,,97.88501682999922,98.88426250001066,98.88426250001066,97.88850820000516,3.506510416666667,2.2041980999929365,98.88426250001066,97.88850820000516,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,1,1,0,0,4,4,25,,,100.15085349001019,None,101.1340285000042,None,3.506510416666667,2.2297471999918343,101.1340285000042,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,1,1,0,0,5,5,7,,,102.41700276000773,None,103.38412719999906,None,3.506510416666667,1.4524862999969628,103.38412719999906,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,1,1,0,0,6,6,13,,,103.9003593600093,104.90100040000107,104.88391689999844,None,3.506510416666667,1.3332272999978159,104.88391689999844,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,1,1,0,0,7,7,0,,,105.28418529000628,None,106.26923180000449,None,3.506510416666667,1.4989503999968292,106.26923180000449,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,1,1,0,0,8,8,29,,,106.81729496000042,None,107.80052720000094,None,3.506510416666667,1.4971018999931403,107.80052720000094,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,1,1,0,0,9,9,6,,,108.36697628999973,109.36712799999805,109.36712799999805,None,3.506510416666667,1.4073671999940416,109.36712799999805,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,0,0,10,10,16,,,109.8335456899993,None,110.8339885000023,None,None,None,110.8339885000023,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,1,1,0,0,11,11,14,,,112.85048616001149,None,113.85015720000956,112.85648390000279,3.506510416666667,1.5546191000030376,113.85015720000956,112.85648390000279,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,1,1,0,0,12,12,34,,,114.44998176000371,None,115.4335820999986,None,3.506510416666667,1.1665973000053782,115.4335820999986,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,1,1,0,0,13,13,28,,,115.66654979000013,None,116.64991620001092,None,3.506510416666667,2.0503696000087075,116.64991620001092,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,1,1,0,0,14,14,4,,,117.766556389998,None,118.74992760000168,None,3.506510416666667,1.8132130000012694,118.74992760000168,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,0,0,15,15,23,,,119.61683286000624,None,120.58535180000763,None,3.506510416666667,1.120086100010667,120.58535180000763,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,0,0,16,16,2,,,120.7666885600076,121.76662750000833,121.76662750000833,None,3.506510416666667,1.4238940000068396,121.76662750000833,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,1,1,0,0,17,17,19,,,122.249728590007,123.2497863000026,123.23354810000455,None,3.506510416666667,1.635888699995121,123.23354810000455,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,0,0,18,18,22,,,123.94945642000529,None,124.93468400000711,None,3.506510416666667,1.4144369999994524,124.93468400000711,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,1,1,0,0,19,19,30,,,125.38293273000599,126.3832196000003,126.36661189999722,None,3.506510416666667,2.5799492000078317,126.36661189999722,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,0,0,20,20,9,,,128.08249381000786,None,129.0661722000077,None,3.506510416666667,1.2831420000002254,129.0661722000077,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,0,0,21,21,8,,,129.3826794299981,None,130.383109900009,None,None,None,130.383109900009,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,0,0,22,22,1,,,132.39906395999714,None,133.3827672000043,132.38937910000095,3.506510416666667,1.8180264999973588,133.3827672000043,132.38937910000095,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,0,0,23,23,31,,,134.2323193299977,135.23289530001057,135.23289530001057,None,3.506510416666667,2.219831599999452,135.23289530001057,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,1,1,0,0,24,24,33,,,136.49886316000192,137.49915119999787,137.49915119999787,None,3.506510416666667,1.489524499993422,137.49915119999787,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,0,0,25,25,26,,,138.0320685600047,None,139.01582970000163,None,3.506510416666667,2.76380380000046,139.01582970000163,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,0,0,26,26,20,,,140.84872569000143,None,141.83191580000857,None,3.506510416666667,1.7017639999976382,141.83191580000857,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,0,0,27,27,3,,,142.59866349000802,None,143.59884600000805,None,3.506510416666667,2.010259100003168,143.59884600000805,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,1,1,0,0,28,28,18,,,144.6485644600063,145.6487019000051,145.6487019000051,None,3.506510416666667,1.4604945999890333,145.6487019000051,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,1,1,0,0,29,29,17,,,146.14022155999845,None,147.13225590001093,None,3.506510416666667,1.3403771999874152,147.13225590001093,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,0,0,30,30,21,,,147.49866453001013,148.49861580001016,148.48212580000109,None,3.506510416666667,1.4775493000051938,148.48212580000109,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,0,0,31,31,32,,,149.01532136000168,None,149.99834200000623,None,3.506510416666667,1.4801210000005085,149.99834200000623,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,1,1,0,0,32,32,11,,,150.54844069001118,151.54841080000915,151.54841080000915,None,3.506510416666667,1.244604999999865,151.54841080000915,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,1,1,0,0,33,33,12,,,151.81484382999915,152.8148313999991,152.8148313999991,None,3.506510416666667,1.4229919000063092,152.8148313999991,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
400,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,0,0,34,34,35,,,153.26494783000234,None,154.2497582000069,None,3.506510416666667,2.2300082000001566,154.2497582000069,None,,,,,,,,,,,f,001,2020_Dec_15_1410,piloto1,2020.2.5,59.84107407400735,
