mouse_intro.x,mouse_intro.y,mouse_intro.leftButton,mouse_intro.midButton,mouse_intro.rightButton,mouse_intro.clicked_name,mouse_intro_2.x,mouse_intro_2.y,mouse_intro_2.leftButton,mouse_intro_2.midButton,mouse_intro_2.rightButton,mouse_intro_2.clicked_name,mouse_intro_prueba.x,mouse_intro_prueba.y,mouse_intro_prueba.leftButton,mouse_intro_prueba.midButton,mouse_intro_prueba.rightButton,mouse_intro_prueba.clicked_name,slider_prueba.response,slider_prueba.rt,slider_prueba_2.response,slider_prueba_2.rt,mouse_intro_exp.x,mouse_intro_exp.y,mouse_intro_exp.leftButton,mouse_intro_exp.midButton,mouse_intro_exp.rightButton,mouse_intro_exp.clicked_name,slider_exp.response,slider_exp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Imagenes,Random,Correcto,participant,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Hertz,volumen,mouse_subasta1.x,mouse_subasta1.y,mouse_subasta1.leftButton,mouse_subasta1.midButton,mouse_subasta1.rightButton,mouse_subasta1.clicked_name,mouse_subasta2.x,mouse_subasta2.y,mouse_subasta2.leftButton,mouse_subasta2.midButton,mouse_subasta2.rightButton,mouse_subasta2.clicked_name,mouse_pago1.x,mouse_pago1.y,mouse_pago1.leftButton,mouse_pago1.midButton,mouse_pago1.rightButton,mouse_pago1.clicked_name,product,mouse_pago2.x,mouse_pago2.y,mouse_pago2.leftButton,mouse_pago2.midButton,mouse_pago2.rightButton,mouse_pago2.clicked_name,mouse_producto.x,mouse_producto.y,mouse_producto.leftButton,mouse_producto.midButton,mouse_producto.rightButton,mouse_producto.clicked_name,mensaje,mouse_pago3.x,mouse_pago3.y,mouse_pago3.leftButton,mouse_pago3.midButton,mouse_pago3.rightButton,mouse_pago3.clicked_name,mouse_intro_encuesta.x,mouse_intro_encuesta.y,mouse_intro_encuesta.leftButton,mouse_intro_encuesta.midButton,mouse_intro_encuesta.rightButton,mouse_intro_encuesta.clicked_name
0.739583333,-0.3828125,1,0,0,boton_intro,0.73046875,-0.3828125,1,0,0,boton_intro_2,0.71484375,-0.384114583,1,0,0,boton_intro_prueba,3.513020833,1.81212,4.587239583,1.86214,0.678385417,-0.395833333,1,0,0,boton_intro_exp,3.513020833,1.77504,0,0,0,19,1,imagenes/Uvas.jpg,0.495929164,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.606770833,1.691585,0,1,1,21,1,imagenes/Brocoli.jpg,0.242930749,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,20,1,imagenes/Almojabanas.png,0.67250512,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.606770833,1.790285,0,3,3,18,1,imagenes/Yogurt-alpina.jpg,0.544515294,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.381510417,1.496555,0,4,4,4,1,imagenes/Chocoramo.jfif.jpg,0.742552856,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.856770833,1.990315,0,5,5,12,1,imagenes/Nutella (1).jpg,0.882653188,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.876302083,1.764635,0,6,6,6,1,imagenes/Galletas Tosh.jpg,0.912969375,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94140625,1.73952,0,7,7,25,1,imagenes/Muffin de banano.png,0.961061506,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.157552083,1.186035,0,8,8,10,1,imagenes/Mango.jpeg,0.434115542,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.087195,0,9,9,9,1,imagenes/Leche-de-almendras.jpg,0.388655946,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.20073,0,10,10,24,1,imagenes/Coliflor.jpg,0.364074049,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.103845,0,11,11,13,1,imagenes/Papas-naturales.jpg,0.375906299,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.10369,0,12,12,32,1,imagenes/Pizzetas.png,0.329595159,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.369791667,1.126655,0,13,13,15,1,imagenes/Papas-pollo.jpg,0.083734854,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.643229167,1.11562,0,14,14,23,1,imagenes/Chontaduro.png,0.86935533,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.643229167,1.068845,0,15,15,29,1,imagenes/Pescadito.png,0.717282501,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.104765,0,16,16,33,1,imagenes/Rollo de queso.png,0.920164118,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.643229167,1.114365,0,17,17,5,1,imagenes/Croissant.jpg,0.582474859,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.623697917,1.213855,0,18,18,1,1,imagenes/Banano.jpeg,0.226765672,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,2,1,imagenes/bon-bon-bun.jpg,0.741745272,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6171875,1.198705,0,20,20,34,1,imagenes/Rollos de canela.png,0.261097441,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6171875,1.33936,0,21,21,7,1,imagenes/Galletas-festival.jpg,0.113060744,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.415364583,1.33488,0,22,22,26,1,imagenes/Pandebono.png,0.898857438,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71484375,1.15439,0,23,23,3,1,imagenes/Brownie.jpg,0.283892407,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.192495,0,24,24,27,1,imagenes/Papas picantes.jpg,0.524978899,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.101525,0,25,25,8,1,imagenes/Kiwi.jpg,0.392914585,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.15679,0,26,26,11,1,imagenes/Manzana.jpg,0.404842033,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.081325,0,27,27,22,1,imagenes/Canelazo.png,0.673047936,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.226615,0,28,28,31,1,imagenes/Pizza.png,0.211924435,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.183855,0,29,29,17,1,imagenes/Rosquitas (1).jpg,0.02409034,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.1823,0,30,30,16,1,imagenes/Popetas.jpg,0.962162573,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.149905,0,31,31,28,1,imagenes/Pepinillos.png,0.003896644,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.13113,0,32,32,14,1,imagenes/Papas-limon.jpg,0.528079851,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.03603,0,33,33,35,1,imagenes/salchicha hojaldrada.jpg,0.711977317,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701822917,1.106355,0,34,34,0,1,imagenes/Alpinito.jpg,0.741615088,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.630208333,1.184105,0,35,35,30,1,imagenes/pistachos.jpg,0.745086974,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,0,0,0,0,1,400,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.630208333,1.15852,0,0,0,27,1,imagenes/Papas picantes.jpg,0.524978899,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.630208333,1.090545,0,1,1,35,1,imagenes/salchicha hojaldrada.jpg,0.711977317,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.591145833,1.23085,0,2,2,18,1,imagenes/Yogurt-alpina.jpg,0.544515294,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.270675,0,3,3,14,1,imagenes/Papas-limon.jpg,0.528079851,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.124325,0,4,4,16,1,imagenes/Popetas.jpg,0.962162573,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.120435,0,5,5,26,1,imagenes/Pandebono.png,0.898857438,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.114295,0,6,6,13,1,imagenes/Papas-naturales.jpg,0.375906299,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.1835,0,7,7,34,1,imagenes/Rollos de canela.png,0.261097441,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.07331,0,8,8,23,1,imagenes/Chontaduro.png,0.86935533,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.223,0,9,9,6,1,imagenes/Galletas Tosh.jpg,0.912969375,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.16726,0,10,10,2,1,imagenes/bon-bon-bun.jpg,0.741745272,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.179835,0,11,11,20,1,imagenes/Almojabanas.png,0.67250512,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.21723,0,12,12,17,1,imagenes/Rosquitas (1).jpg,0.02409034,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.1482,0,13,13,33,1,imagenes/Rollo de queso.png,0.920164118,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.14469,0,14,14,9,1,imagenes/Leche-de-almendras.jpg,0.388655946,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.20386,0,15,15,24,1,imagenes/Coliflor.jpg,0.364074049,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.216665,0,16,16,15,1,imagenes/Papas-pollo.jpg,0.083734854,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.158085,0,17,17,3,1,imagenes/Brownie.jpg,0.283892407,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.082755,0,18,18,8,1,imagenes/Kiwi.jpg,0.392914585,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.14126,0,19,19,32,1,imagenes/Pizzetas.png,0.329595159,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.265965,0,20,20,11,1,imagenes/Manzana.jpg,0.404842033,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.221615,0,21,21,19,1,imagenes/Uvas.jpg,0.495929164,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.25855,0,22,22,5,1,imagenes/Croissant.jpg,0.582474859,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.184685,0,23,23,7,1,imagenes/Galletas-festival.jpg,0.113060744,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.220695,0,24,24,28,1,imagenes/Pepinillos.png,0.003896644,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.250135,0,25,25,29,1,imagenes/Pescadito.png,0.717282501,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.207525,0,26,26,31,1,imagenes/Pizza.png,0.211924435,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.13742,0,27,27,22,1,imagenes/Canelazo.png,0.673047936,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.13998,0,28,28,0,1,imagenes/Alpinito.jpg,0.741615088,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.18869,0,29,29,10,1,imagenes/Mango.jpeg,0.434115542,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.200435,0,30,30,30,1,imagenes/pistachos.jpg,0.745086974,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55859375,1.197965,0,31,31,1,1,imagenes/Banano.jpeg,0.226765672,,q,001,2021-01-09_02h01.52.583,piloto1,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
